queue->push(10936, 229);2300; ns
queue->pop();2300; ns
queue->pop();2200; ns
queue->pop();2100; ns
queue->peek();1100; ns
queue->push(3265, 234);2300; ns
queue->pop();2300; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->pop();50500; ns
queue->push(27489, 239);3300; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->push(25687, 242);3100; ns
queue->push(31165, 243);1400; ns
queue->peek();1200; ns
queue->push(17562, 245);3200; ns
queue->pop();2300; ns
queue->push(28138, 247);2800; ns
queue->push(7986, 248);3000; ns
queue->push(20767, 249);3200; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->peek();1200; ns
queue->pop();2200; ns
queue->pop();2100; ns
queue->peek();1100; ns
queue->push(23710, 256);2300; ns
queue->push(28599, 257);1400; ns
queue->pop();2200; ns
queue->pop();61800; ns
queue->peek();1200; ns
queue->push(10660, 261);3100; ns
queue->peek();1100; ns
queue->pop();2300; ns
queue->push(1563, 264);2400; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->pop();2300; ns
queue->peek();1100; ns
queue->push(6938, 269);2400; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->push(17515, 272);2300; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->push(18520, 275);3500; ns
queue->pop();2200; ns
queue->push(717, 277);2300; ns
queue->push(7953, 278);3300; ns
queue->push(15628, 279);3500; ns
queue->pop();2100; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(19462, 284);2700; ns
queue->pop();2300; ns
queue->push(11264, 286);2300; ns
queue->pop();2200; ns
queue->push(9525, 288);2300; ns
queue->push(186, 289);3100; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(17939, 293);3600; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1000; ns
queue->push(13712, 297);3600; ns
queue->push(2825, 298);3300; ns
queue->pop();2300; ns
queue->pop();2100; ns
queue->push(24457, 301);1800; ns
queue->push(8707, 302);2600; ns
queue->pop();2400; ns
queue->pop();2100; ns
queue->peek();1200; ns
queue->push(14272, 306);1600; ns
queue->pop();80300; ns
queue->peek();1200; ns
queue->push(18860, 309);3700; ns
queue->peek();1200; ns
queue->push(27247, 311);1500; ns
queue->peek();1100; ns
queue->peek();1200; ns
queue->pop();2300; ns
queue->push(9874, 315);2400; ns
queue->push(26219, 316);1400; ns
queue->peek();1200; ns
queue->push(21172, 318);1500; ns
queue->pop();2300; ns
queue->pop();2200; ns
queue->push(10724, 321);2500; ns
queue->peek();1100; ns
queue->pop();2300; ns
queue->peek();1200; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->peek();1000; ns
queue->push(16384, 328);2500; ns
queue->pop();2300; ns
queue->peek();1200; ns
queue->pop();83300; ns
queue->push(28600, 332);1500; ns
queue->push(2047, 333);3300; ns
queue->pop();2300; ns
queue->peek();1300; ns
queue->pop();2100; ns
queue->push(786, 337);2400; ns
queue->pop();2300; ns
queue->push(1882, 339);2300; ns
queue->push(10053, 340);2400; ns
queue->peek();1200; ns
queue->push(11575, 342);3600; ns
queue->push(7870, 343);3300; ns
queue->push(25650, 344);1400; ns
queue->push(28937, 345);1400; ns
queue->push(10482, 346);3600; ns
queue->peek();1200; ns
queue->pop();2300; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->pop();2100; ns
queue->push(20693, 352);1400; ns
queue->push(26679, 353);1400; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(8735, 357);2400; ns
queue->pop();2200; ns
queue->peek();1200; ns
queue->pop();102100; ns
queue->peek();1300; ns
queue->pop();2400; ns
queue->push(13255, 363);2500; ns
queue->peek();1100; ns
queue->pop();2300; ns
queue->push(16308, 366);2400; ns
queue->pop();2300; ns
queue->pop();2100; ns
queue->peek();1100; ns
queue->push(24697, 370);2900; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->pop();2100; ns
queue->push(4394, 374);2300; ns
queue->peek();1200; ns
queue->push(19195, 376);2500; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->push(26702, 382);1400; ns
queue->push(9458, 383);2200; ns
queue->push(12056, 384);2500; ns
queue->peek();1200; ns
queue->pop();2200; ns
queue->push(31513, 387);1500; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->push(22800, 390);2300; ns
queue->push(1613, 391);2200; ns
queue->peek();1100; ns
queue->pop();2300; ns
queue->push(16673, 394);2300; ns
queue->pop();2200; ns
queue->push(18397, 396);2300; ns
queue->pop();2200; ns
queue->pop();2100; ns
queue->push(23525, 399);2300; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->peek();1100; ns
queue->push(19799, 405);2300; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->push(6400, 408);2500; ns
queue->pop();2200; ns
queue->push(28832, 410);1500; ns
queue->pop();237300; ns
queue->push(12770, 412);6200; ns
queue->push(23314, 413);6100; ns
queue->peek();2400; ns
queue->pop();4500; ns
queue->peek();2200; ns
queue->peek();2100; ns
queue->pop();2700; ns
queue->pop();2200; ns
queue->peek();1200; ns
queue->push(1531, 421);2800; ns
queue->pop();2400; ns
queue->pop();2200; ns
queue->peek();1200; ns
queue->peek();1200; ns
queue->push(31295, 426);1600; ns
queue->push(12959, 427);2600; ns
queue->push(9817, 428);2300; ns
queue->pop();2300; ns
queue->pop();2200; ns
queue->pop();84200; ns
queue->pop();2300; ns
queue->peek();1300; ns
queue->pop();2100; ns
queue->peek();1200; ns
queue->push(19152, 436);2500; ns
queue->peek();1200; ns
queue->push(10952, 438);2400; ns
queue->push(8274, 439);3200; ns
queue->pop();2300; ns
queue->pop();2100; ns
queue->pop();2100; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->pop();72900; ns
queue->pop();2200; ns
queue->peek();1200; ns
queue->pop();2200; ns
queue->push(6091, 451);2500; ns
queue->peek();1300; ns
queue->push(1997, 453);3100; ns
queue->peek();1300; ns
queue->pop();4300; ns
queue->peek();2000; ns
queue->pop();3800; ns
queue->pop();4300; ns
queue->push(2181, 459);4700; ns
queue->pop();4100; ns
queue->push(29851, 461);2700; ns
queue->peek();2400; ns
queue->push(24371, 463);4300; ns
queue->peek();1300; ns
queue->pop();2600; ns
queue->peek();1200; ns
queue->pop();62300; ns
queue->pop();2300; ns
queue->pop();2200; ns
queue->pop();2200; ns
queue->peek();1200; ns
queue->pop();50400; ns
queue->pop();2300; ns
queue->peek();1200; ns
queue->pop();2100; ns
queue->push(29710, 476);2500; ns
queue->peek();1200; ns
queue->push(10318, 478);2400; ns
queue->push(4959, 479);3100; ns
queue->push(28969, 480);3600; ns
queue->pop();2300; ns
queue->push(13250, 482);2600; ns
queue->push(24432, 483);3600; ns
queue->push(4300, 484);3100; ns
queue->pop();2200; ns
queue->push(8760, 486);2300; ns
queue->pop();2300; ns
queue->peek();1200; ns
queue->push(26936, 489);1500; ns
queue->push(16922, 490);2800; ns
queue->peek();1200; ns
queue->pop();2300; ns
queue->push(12592, 493);2400; ns
queue->pop();2300; ns
queue->pop();2100; ns
queue->pop();2100; ns
queue->pop();52300; ns
queue->pop();2200; ns
queue->push(19501, 499);2500; ns
queue->push(11538, 500);3100; ns
queue->peek();1200; ns
queue->peek();1200; ns
queue->push(7342, 503);3100; ns
queue->pop();2200; ns
queue->push(2801, 505);2300; ns
queue->push(7331, 506);3400; ns
queue->peek();1200; ns
queue->pop();2300; ns
queue->pop();2100; ns
queue->pop();2100; ns
queue->pop();48600; ns
queue->peek();1200; ns
queue->push(14286, 513);3200; ns
queue->push(100, 514);3200; ns
queue->push(13956, 515);3300; ns
queue->pop();2300; ns
queue->pop();2100; ns
queue->pop();2100; ns
queue->push(10394, 519);2400; ns
queue->push(26450, 520);2600; ns
queue->peek();1200; ns
queue->pop();2300; ns
queue->pop();2200; ns
queue->pop();44600; ns
queue->pop();2300; ns
queue->pop();2100; ns
queue->pop();2100; ns
queue->push(10449, 528);2400; ns
queue->peek();1200; ns
queue->push(13538, 530);2600; ns
queue->push(4701, 531);2200; ns
queue->peek();1100; ns
queue->push(16084, 533);3700; ns
queue->pop();2300; ns
queue->pop();2100; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->push(16910, 540);1500; ns
queue->push(23750, 541);1400; ns
queue->peek();1200; ns
queue->pop();41200; ns
queue->push(20809, 544);3500; ns
queue->push(19740, 545);3400; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->pop();2300; ns
queue->push(3484, 549);2400; ns
queue->peek();1200; ns
queue->push(28494, 551);1400; ns
queue->push(31420, 552);1400; ns
queue->peek();1100; ns
queue->push(17645, 554);3400; ns
queue->push(7754, 555);3300; ns
queue->pop();2300; ns
queue->push(5705, 557);2400; ns
queue->peek();1200; ns
