queue->push(22241, 231);2800; ns
queue->push(9968, 232);3100; ns
queue->peek();1100; ns
queue->push(6382, 234);3200; ns
queue->peek();1100; ns
queue->push(18544, 236);3600; ns
queue->pop();2200; ns
queue->push(19897, 238);1400; ns
queue->pop();2100; ns
queue->push(5394, 240);2200; ns
queue->pop();2100; ns
queue->pop();2100; ns
queue->peek();1100; ns
queue->push(6390, 244);2300; ns
queue->push(4951, 245);2200; ns
queue->pop();2100; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->push(30683, 249);1400; ns
queue->pop();37800; ns
queue->pop();2100; ns
queue->pop();2100; ns
queue->pop();2000; ns
queue->push(31681, 254);1400; ns
queue->pop();24800; ns
queue->peek();1200; ns
queue->push(16198, 257);3200; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->push(2846, 261);2300; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->pop();2100; ns
queue->push(10761, 266);2300; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->push(13288, 269);2600; ns
queue->push(2851, 270);3000; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->pop();2100; ns
queue->pop();2100; ns
queue->peek();1100; ns
queue->push(28947, 276);1400; ns
queue->push(17474, 277);2200; ns
queue->pop();2100; ns
queue->push(25975, 279);1500; ns
queue->push(17304, 280);2300; ns
queue->push(13223, 281);2200; ns
queue->push(1756, 282);2200; ns
queue->pop();2100; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->push(31458, 288);1500; ns
queue->push(27878, 289);1400; ns
queue->push(21993, 290);2300; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->push(26510, 293);1500; ns
queue->push(31654, 294);1400; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->pop();38500; ns
queue->pop();2200; ns
queue->pop();2000; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->push(19624, 302);2400; ns
queue->peek();1200; ns
queue->pop();2400; ns
queue->push(12833, 305);2500; ns
queue->pop();2200; ns
queue->push(20913, 307);2400; ns
queue->peek();1100; ns
queue->push(7998, 309);2300; ns
queue->push(29446, 310);1500; ns
queue->push(13787, 311);2500; ns
queue->push(17699, 312);3600; ns
queue->pop();2200; ns
queue->pop();2000; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(32224, 320);1500; ns
